topology,n_reviewers,n_latent_classes,classifier_accuracy,seed,false_novelty_rate,true_novelty_recall,consensus_accuracy,mean_agreement,tp,fp,tn,fn
isolated,20,40,0.6,0,0.9875,1.0,0.21,0.7644999999999998,40,158,2,0
isolated,20,40,0.6,1,0.95625,1.0,0.235,0.7407499999999999,40,153,7,0
isolated,20,40,0.6,2,0.98125,1.0,0.215,0.75375,40,157,3,0
isolated,20,40,0.6,3,0.9875,0.975,0.205,0.7642500000000001,39,158,2,1
isolated,20,40,0.6,4,0.99375,1.0,0.205,0.7509999999999999,40,159,1,0
isolated,20,40,0.6,5,0.9565217391304348,0.9743589743589743,0.225,0.7455000000000002,38,154,7,1
isolated,20,40,0.6,6,0.95625,0.925,0.22,0.7490000000000001,37,153,7,3
isolated,20,40,0.6,7,0.95625,1.0,0.235,0.7480000000000001,40,153,7,0
isolated,20,40,0.6,8,0.975,0.975,0.215,0.7645000000000002,39,156,4,1
isolated,20,40,0.6,9,0.98125,1.0,0.215,0.75225,40,157,3,0
isolated,20,40,0.75,0,0.98125,0.975,0.21,0.7575,39,157,3,1
isolated,20,40,0.75,1,0.96875,1.0,0.225,0.73875,40,155,5,0
isolated,20,40,0.75,2,0.96875,0.95,0.215,0.7455000000000002,38,155,5,2
isolated,20,40,0.75,3,0.9625,0.95,0.22,0.759,38,154,6,2
isolated,20,40,0.75,4,0.9625,0.975,0.225,0.7555,39,154,6,1
isolated,20,40,0.75,5,0.9440993788819876,0.9487179487179487,0.23,0.74275,37,152,9,2
isolated,20,40,0.75,6,0.925,0.9,0.24,0.73925,36,148,12,4
isolated,20,40,0.75,7,0.93125,0.975,0.25,0.7497499999999999,39,149,11,1
isolated,20,40,0.75,8,0.96875,0.975,0.22,0.76575,39,155,5,1
isolated,20,40,0.75,9,1.0,0.975,0.195,0.746,39,160,0,1
isolated,20,40,0.9,0,0.9875,0.975,0.205,0.7639999999999999,39,158,2,1
isolated,20,40,0.9,1,0.95,0.975,0.235,0.7314999999999999,39,152,8,1
isolated,20,40,0.9,2,0.94375,0.975,0.24,0.7315,39,151,9,1
isolated,20,40,0.9,3,0.9125,0.95,0.26,0.76225,38,146,14,2
isolated,20,40,0.9,4,0.95,0.975,0.235,0.7402500000000001,39,152,8,1
isolated,20,40,0.9,5,0.8757763975155279,0.9487179487179487,0.285,0.735,37,141,20,2
isolated,20,40,0.9,6,0.875,0.925,0.285,0.746,37,140,20,3
isolated,20,40,0.9,7,0.8875,0.95,0.28,0.7494999999999998,38,142,18,2
