topology,n_reviewers,n_latent_classes,classifier_accuracy,seeding_rate,seed,false_novelty_rate,true_novelty_recall,specificity,balanced_accuracy,consensus_accuracy,mean_agreement,tp,fp,tn,fn
isolated,20,40,0.6,0.05,0,0.9875,1.0,0.012499999999999956,0.50625,0.21,0.7644999999999998,40,158,2,0
isolated,20,40,0.6,0.05,1,0.95625,1.0,0.043749999999999956,0.521875,0.235,0.7407499999999999,40,153,7,0
isolated,20,40,0.6,0.05,2,0.98125,1.0,0.018750000000000044,0.509375,0.215,0.75375,40,157,3,0
isolated,20,40,0.6,0.05,3,0.9875,0.975,0.012499999999999956,0.49374999999999997,0.205,0.7642500000000001,39,158,2,1
isolated,20,40,0.6,0.05,4,0.99375,1.0,0.006249999999999978,0.503125,0.205,0.7509999999999999,40,159,1,0
isolated,20,40,0.6,0.05,5,0.9565217391304348,0.9743589743589743,0.04347826086956519,0.5089186176142697,0.225,0.7455000000000002,38,154,7,1
isolated,20,40,0.6,0.05,6,0.95625,0.925,0.043749999999999956,0.484375,0.22,0.7490000000000001,37,153,7,3
isolated,20,40,0.6,0.05,7,0.95625,1.0,0.043749999999999956,0.521875,0.235,0.7480000000000001,40,153,7,0
isolated,20,40,0.6,0.05,8,0.975,0.975,0.025000000000000022,0.5,0.215,0.7645000000000002,39,156,4,1
isolated,20,40,0.6,0.05,9,0.98125,1.0,0.018750000000000044,0.509375,0.215,0.75225,40,157,3,0
isolated,20,40,0.6,0.05,10,0.9375,0.95,0.0625,0.50625,0.24,0.75225,38,150,10,2
isolated,20,40,0.6,0.05,11,0.9876543209876543,1.0,0.012345679012345734,0.5061728395061729,0.2,0.7525,38,160,2,0
isolated,20,40,0.6,0.05,12,0.9875,0.975,0.012499999999999956,0.49374999999999997,0.205,0.76375,39,158,2,1
isolated,20,40,0.6,0.05,13,0.9751552795031055,0.9743589743589743,0.024844720496894457,0.4996018474279344,0.21,0.7557499999999999,38,157,4,1
isolated,20,40,0.6,0.05,14,0.96875,1.0,0.03125,0.515625,0.225,0.7452500000000001,40,155,5,0
isolated,20,40,0.6,0.05,15,0.99375,1.0,0.006249999999999978,0.503125,0.205,0.7697499999999999,40,159,1,0
isolated,20,40,0.6,0.05,16,0.9625,1.0,0.03749999999999998,0.51875,0.23,0.7545000000000001,40,154,6,0
isolated,20,40,0.6,0.05,17,0.9875776397515528,1.0,0.012422360248447228,0.5062111801242236,0.205,0.7625,39,159,2,0
isolated,20,40,0.6,0.05,18,0.98125,0.975,0.018750000000000044,0.496875,0.21,0.7439999999999999,39,157,3,1
isolated,20,40,0.6,0.05,19,0.94375,0.975,0.05625000000000002,0.515625,0.24,0.746,39,151,9,1
isolated,20,40,0.6,0.05,20,0.9875776397515528,1.0,0.012422360248447228,0.5062111801242236,0.205,0.7605,39,159,2,0
isolated,20,40,0.6,0.05,21,0.975,1.0,0.025000000000000022,0.5125,0.22,0.753,40,156,4,0
isolated,20,40,0.6,0.05,22,0.96875,1.0,0.03125,0.515625,0.225,0.754,40,155,5,0
isolated,20,40,0.6,0.05,23,0.925,0.975,0.07499999999999996,0.5249999999999999,0.255,0.7440000000000001,39,148,12,1
isolated,20,40,0.6,0.05,24,1.0,0.9743589743589743,0.0,0.48717948717948717,0.19,0.7475,38,161,0,1
isolated,20,40,0.6,0.05,25,0.95625,0.975,0.043749999999999956,0.5093749999999999,0.23,0.76125,39,153,7,1
isolated,20,40,0.6,0.05,26,0.9375,1.0,0.0625,0.53125,0.25,0.73675,40,150,10,0
isolated,20,40,0.6,0.05,27,1.0,1.0,0.0,0.5,0.2,0.7709999999999999,40,160,0,0
isolated,20,40,0.6,0.05,28,0.96875,0.95,0.03125,0.490625,0.215,0.7575,38,155,5,2
isolated,20,40,0.6,0.05,29,0.9625,1.0,0.03749999999999998,0.51875,0.23,0.7552500000000001,40,154,6,0
isolated,20,40,0.75,0.05,0,0.98125,0.975,0.018750000000000044,0.496875,0.21,0.7575,39,157,3,1
isolated,20,40,0.75,0.05,1,0.96875,1.0,0.03125,0.515625,0.225,0.73875,40,155,5,0
isolated,20,40,0.75,0.05,2,0.96875,0.95,0.03125,0.490625,0.215,0.7455000000000002,38,155,5,2
isolated,20,40,0.75,0.05,3,0.9625,0.95,0.03749999999999998,0.49374999999999997,0.22,0.759,38,154,6,2
isolated,20,40,0.75,0.05,4,0.9625,0.975,0.03749999999999998,0.50625,0.225,0.7555,39,154,6,1
isolated,20,40,0.75,0.05,5,0.9440993788819876,0.9487179487179487,0.05590062111801242,0.5023092849179805,0.23,0.74275,37,152,9,2
isolated,20,40,0.75,0.05,6,0.925,0.9,0.07499999999999996,0.4875,0.24,0.73925,36,148,12,4
isolated,20,40,0.75,0.05,7,0.93125,0.975,0.06874999999999998,0.521875,0.25,0.7497499999999999,39,149,11,1
isolated,20,40,0.75,0.05,8,0.96875,0.975,0.03125,0.503125,0.22,0.76575,39,155,5,1
isolated,20,40,0.75,0.05,9,1.0,0.975,0.0,0.4875,0.195,0.746,39,160,0,1
isolated,20,40,0.75,0.05,10,0.925,0.975,0.07499999999999996,0.5249999999999999,0.255,0.7507499999999999,39,148,12,1
isolated,20,40,0.75,0.05,11,0.9753086419753086,1.0,0.024691358024691357,0.5123456790123457,0.21,0.75,38,158,4,0
isolated,20,40,0.75,0.05,12,0.975,1.0,0.025000000000000022,0.5125,0.22,0.7569999999999999,40,156,4,0
isolated,20,40,0.75,0.05,13,0.9627329192546584,0.9487179487179487,0.037267080745341574,0.4929925147316451,0.215,0.7404999999999999,37,155,6,2
isolated,20,40,0.75,0.05,14,0.95,0.95,0.050000000000000044,0.5,0.23,0.7497500000000001,38,152,8,2
isolated,20,40,0.75,0.05,15,0.975,0.975,0.025000000000000022,0.5,0.215,0.75725,39,156,4,1
isolated,20,40,0.75,0.05,16,0.91875,0.95,0.08125000000000004,0.515625,0.255,0.74225,38,147,13,2
isolated,20,40,0.75,0.05,17,0.9813664596273292,1.0,0.018633540372670843,0.5093167701863355,0.21,0.75725,39,158,3,0
isolated,20,40,0.75,0.05,18,0.98125,1.0,0.018750000000000044,0.509375,0.215,0.72775,40,157,3,0
isolated,20,40,0.75,0.05,19,0.91875,0.95,0.08125000000000004,0.515625,0.255,0.7469999999999999,38,147,13,2
isolated,20,40,0.75,0.05,20,0.9813664596273292,0.9743589743589743,0.018633540372670843,0.4964962573658226,0.205,0.753,38,158,3,1
isolated,20,40,0.75,0.05,21,0.9375,0.975,0.0625,0.51875,0.245,0.7390000000000001,39,150,10,1
isolated,20,40,0.75,0.05,22,0.975,0.975,0.025000000000000022,0.5,0.215,0.7495,39,156,4,1
isolated,20,40,0.75,0.05,23,0.925,0.975,0.07499999999999996,0.5249999999999999,0.255,0.7397499999999999,39,148,12,1
isolated,20,40,0.75,0.05,24,0.968944099378882,0.9743589743589743,0.03105590062111796,0.5027074374900462,0.215,0.7497499999999999,38,156,5,1
isolated,20,40,0.75,0.05,25,0.93125,0.95,0.06874999999999998,0.5093749999999999,0.245,0.7490000000000001,38,149,11,2
isolated,20,40,0.75,0.05,26,0.875,0.925,0.125,0.525,0.285,0.73675,37,140,20,3
isolated,20,40,0.75,0.05,27,1.0,1.0,0.0,0.5,0.2,0.75725,40,160,0,0
isolated,20,40,0.75,0.05,28,0.94375,0.975,0.05625000000000002,0.515625,0.24,0.7607499999999999,39,151,9,1
isolated,20,40,0.75,0.05,29,0.94375,0.95,0.05625000000000002,0.503125,0.235,0.754,38,151,9,2
isolated,20,40,0.9,0.05,0,0.9875,0.975,0.012499999999999956,0.49374999999999997,0.205,0.7639999999999999,39,158,2,1
isolated,20,40,0.9,0.05,1,0.95,0.975,0.050000000000000044,0.5125,0.235,0.7314999999999999,39,152,8,1
isolated,20,40,0.9,0.05,2,0.94375,0.975,0.05625000000000002,0.515625,0.24,0.7315,39,151,9,1
isolated,20,40,0.9,0.05,3,0.9125,0.95,0.08750000000000002,0.51875,0.26,0.76225,38,146,14,2
isolated,20,40,0.9,0.05,4,0.95,0.975,0.050000000000000044,0.5125,0.235,0.7402500000000001,39,152,8,1
isolated,20,40,0.9,0.05,5,0.8757763975155279,0.9487179487179487,0.12422360248447206,0.5364707756012104,0.285,0.735,37,141,20,2
isolated,20,40,0.9,0.05,6,0.875,0.925,0.125,0.525,0.285,0.746,37,140,20,3
isolated,20,40,0.9,0.05,7,0.8875,0.95,0.11250000000000004,0.53125,0.28,0.7494999999999998,38,142,18,2
isolated,20,40,0.9,0.05,8,0.95625,0.975,0.043749999999999956,0.5093749999999999,0.23,0.7635,39,153,7,1
isolated,20,40,0.9,0.05,9,0.99375,1.0,0.006249999999999978,0.503125,0.205,0.743,40,159,1,0
isolated,20,40,0.9,0.05,10,0.9125,0.95,0.08750000000000002,0.51875,0.26,0.7535,38,146,14,2
isolated,20,40,0.9,0.05,11,0.9753086419753086,1.0,0.024691358024691357,0.5123456790123457,0.21,0.7444999999999999,38,158,4,0
isolated,20,40,0.9,0.05,12,0.9875,1.0,0.012499999999999956,0.50625,0.21,0.75725,40,158,2,0
isolated,20,40,0.9,0.05,13,0.9627329192546584,0.9743589743589743,0.037267080745341574,0.505813027552158,0.22,0.7347499999999999,38,155,6,1
isolated,20,40,0.9,0.05,14,0.9,0.95,0.09999999999999998,0.5249999999999999,0.27,0.7415,38,144,16,2
isolated,20,40,0.9,0.05,15,0.975,0.975,0.025000000000000022,0.5,0.215,0.76125,39,156,4,1
isolated,20,40,0.9,0.05,16,0.9,0.95,0.09999999999999998,0.5249999999999999,0.27,0.7334999999999999,38,144,16,2
isolated,20,40,0.9,0.05,17,0.9813664596273292,0.9743589743589743,0.018633540372670843,0.4964962573658226,0.205,0.74375,38,158,3,1
isolated,20,40,0.9,0.05,18,0.98125,1.0,0.018750000000000044,0.509375,0.215,0.72625,40,157,3,0
isolated,20,40,0.9,0.05,19,0.925,0.975,0.07499999999999996,0.5249999999999999,0.255,0.7482500000000001,39,148,12,1
isolated,20,40,0.9,0.05,20,0.9503105590062112,0.9743589743589743,0.0496894409937888,0.5120242076763816,0.23,0.7497499999999999,38,153,8,1
isolated,20,40,0.9,0.05,21,0.95625,0.975,0.043749999999999956,0.5093749999999999,0.23,0.73925,39,153,7,1
isolated,20,40,0.9,0.05,22,0.93125,1.0,0.06874999999999998,0.534375,0.255,0.7482500000000001,40,149,11,0
isolated,20,40,0.9,0.05,23,0.89375,0.95,0.10624999999999996,0.528125,0.275,0.74225,38,143,17,2
isolated,20,40,0.9,0.05,24,0.9751552795031055,1.0,0.024844720496894457,0.5124223602484472,0.215,0.74175,39,157,4,0
isolated,20,40,0.9,0.05,25,0.9,0.95,0.09999999999999998,0.5249999999999999,0.27,0.7477499999999999,38,144,16,2
isolated,20,40,0.9,0.05,26,0.85625,0.9,0.14375000000000004,0.5218750000000001,0.295,0.71925,36,137,23,4
isolated,20,40,0.9,0.05,27,0.98125,1.0,0.018750000000000044,0.509375,0.215,0.7592500000000001,40,157,3,0
isolated,20,40,0.9,0.05,28,0.93125,0.975,0.06874999999999998,0.521875,0.25,0.7559999999999999,39,149,11,1
isolated,20,40,0.9,0.05,29,0.88125,0.95,0.11875000000000002,0.534375,0.285,0.74375,38,141,19,2
lattice,20,40,0.6,0.05,0,0.375,0.425,0.625,0.525,0.585,0.6315,17,60,100,23
lattice,20,40,0.6,0.05,1,0.20625,0.375,0.79375,0.584375,0.71,0.6465000000000001,15,33,127,25
lattice,20,40,0.6,0.05,2,0.25625,0.525,0.74375,0.634375,0.7,0.61925,21,41,119,19
lattice,20,40,0.6,0.05,3,0.29375,0.425,0.70625,0.565625,0.65,0.62625,17,47,113,23
lattice,20,40,0.6,0.05,4,0.25,0.425,0.75,0.5875,0.685,0.6267499999999999,17,40,120,23
lattice,20,40,0.6,0.05,5,0.2981366459627329,0.46153846153846156,0.7018633540372671,0.5817009077878643,0.655,0.6505,18,48,113,21
lattice,20,40,0.6,0.05,6,0.2625,0.45,0.7375,0.59375,0.68,0.64925,18,42,118,22
lattice,20,40,0.6,0.05,7,0.325,0.4,0.675,0.5375000000000001,0.62,0.6395,16,52,108,24
lattice,20,40,0.6,0.05,8,0.3,0.5,0.7,0.6,0.66,0.6225,20,48,112,20
lattice,20,40,0.6,0.05,9,0.2875,0.275,0.7125,0.49375,0.625,0.62175,11,46,114,29
lattice,20,40,0.6,0.05,10,0.40625,0.45,0.59375,0.521875,0.565,0.653,18,65,95,22
lattice,20,40,0.6,0.05,11,0.25308641975308643,0.2631578947368421,0.7469135802469136,0.5050357374918778,0.655,0.6452500000000001,10,41,121,28
lattice,20,40,0.6,0.05,12,0.31875,0.375,0.68125,0.528125,0.62,0.618,15,51,109,25
lattice,20,40,0.6,0.05,13,0.3167701863354037,0.3333333333333333,0.6832298136645962,0.5082815734989647,0.615,0.63275,13,51,110,26
lattice,20,40,0.6,0.05,14,0.3,0.35,0.7,0.5249999999999999,0.63,0.6497499999999999,14,48,112,26
lattice,20,40,0.6,0.05,15,0.33125,0.375,0.66875,0.521875,0.61,0.62625,15,53,107,25
lattice,20,40,0.6,0.05,16,0.225,0.425,0.775,0.6,0.705,0.6539999999999999,17,36,124,23
lattice,20,40,0.6,0.05,17,0.35403726708074534,0.3333333333333333,0.6459627329192547,0.489648033126294,0.585,0.64125,13,57,104,26
lattice,20,40,0.6,0.05,18,0.16875,0.35,0.83125,0.590625,0.735,0.6325000000000001,14,27,133,26
lattice,20,40,0.6,0.05,19,0.275,0.375,0.725,0.55,0.655,0.6457499999999999,15,44,116,25
lattice,20,40,0.6,0.05,20,0.2608695652173913,0.3076923076923077,0.7391304347826086,0.5234113712374582,0.655,0.6184999999999999,12,42,119,27
lattice,20,40,0.6,0.05,21,0.29375,0.375,0.70625,0.540625,0.64,0.6255,15,47,113,25
lattice,20,40,0.6,0.05,22,0.3,0.425,0.7,0.5625,0.645,0.64275,17,48,112,23
lattice,20,40,0.6,0.05,23,0.25625,0.375,0.74375,0.559375,0.67,0.6505,15,41,119,25
lattice,20,40,0.6,0.05,24,0.21739130434782608,0.3076923076923077,0.782608695652174,0.5451505016722409,0.69,0.6309999999999999,12,35,126,27
lattice,20,40,0.6,0.05,25,0.33125,0.375,0.66875,0.521875,0.61,0.6572499999999999,15,53,107,25
lattice,20,40,0.6,0.05,26,0.2375,0.475,0.7625,0.6187499999999999,0.705,0.6425,19,38,122,21
lattice,20,40,0.6,0.05,27,0.24375,0.35,0.75625,0.553125,0.675,0.61275,14,39,121,26
lattice,20,40,0.6,0.05,28,0.29375,0.45,0.70625,0.578125,0.655,0.6285000000000001,18,47,113,22
lattice,20,40,0.6,0.05,29,0.3125,0.425,0.6875,0.55625,0.635,0.63725,17,50,110,23
lattice,20,40,0.75,0.05,0,0.3375,0.425,0.6625,0.54375,0.615,0.6467499999999999,17,54,106,23
lattice,20,40,0.75,0.05,1,0.25625,0.425,0.74375,0.584375,0.68,0.6629999999999998,17,41,119,23
lattice,20,40,0.75,0.05,2,0.25625,0.425,0.74375,0.584375,0.68,0.65425,17,41,119,23
lattice,20,40,0.75,0.05,3,0.35,0.5,0.65,0.575,0.62,0.65675,20,56,104,20
lattice,20,40,0.75,0.05,4,0.3625,0.4,0.6375,0.51875,0.59,0.6582499999999999,16,58,102,24
lattice,20,40,0.75,0.05,5,0.2919254658385093,0.46153846153846156,0.7080745341614907,0.5848064978499761,0.66,0.6772499999999999,18,47,114,21
lattice,20,40,0.75,0.05,6,0.3,0.4,0.7,0.55,0.64,0.685,16,48,112,24
lattice,20,40,0.75,0.05,7,0.3,0.45,0.7,0.575,0.65,0.66475,18,48,112,22
lattice,20,40,0.75,0.05,8,0.31875,0.475,0.68125,0.578125,0.64,0.642,19,51,109,21
lattice,20,40,0.75,0.05,9,0.23125,0.3,0.76875,0.534375,0.675,0.618,12,37,123,28
lattice,20,40,0.75,0.05,10,0.3875,0.55,0.6125,0.58125,0.6,0.68375,22,62,98,18
lattice,20,40,0.75,0.05,11,0.21604938271604937,0.3684210526315789,0.7839506172839507,0.5761858349577648,0.705,0.67025,14,35,127,24
lattice,20,40,0.75,0.05,12,0.29375,0.45,0.70625,0.578125,0.655,0.6275,18,47,113,22
lattice,20,40,0.75,0.05,13,0.2795031055900621,0.38461538461538464,0.7204968944099379,0.5525561395126612,0.655,0.6560000000000001,15,45,116,24
lattice,20,40,0.75,0.05,14,0.325,0.425,0.675,0.55,0.625,0.6782499999999999,17,52,108,23
lattice,20,40,0.75,0.05,15,0.34375,0.425,0.65625,0.540625,0.61,0.6415,17,55,105,23
lattice,20,40,0.75,0.05,16,0.24375,0.45,0.75625,0.603125,0.695,0.68025,18,39,121,22
lattice,20,40,0.75,0.05,17,0.32919254658385094,0.4358974358974359,0.670807453416149,0.5533524446567925,0.625,0.6607499999999998,17,53,108,22
lattice,20,40,0.75,0.05,18,0.175,0.3,0.825,0.5625,0.72,0.6475,12,28,132,28
lattice,20,40,0.75,0.05,19,0.2125,0.4,0.7875,0.59375,0.71,0.669,16,34,126,24
lattice,20,40,0.75,0.05,20,0.2608695652173913,0.358974358974359,0.7391304347826086,0.5490523968784838,0.665,0.6419999999999999,14,42,119,25
lattice,20,40,0.75,0.05,21,0.275,0.4,0.725,0.5625,0.66,0.65625,16,44,116,24
lattice,20,40,0.75,0.05,22,0.275,0.475,0.725,0.6,0.675,0.6687500000000002,19,44,116,21
lattice,20,40,0.75,0.05,23,0.2875,0.35,0.7125,0.53125,0.64,0.67625,14,46,114,26
