topology,n_reviewers,n_latent_classes,classifier_accuracy,seeding_rate,seed,false_novelty_rate,true_novelty_recall,specificity,balanced_accuracy,consensus_accuracy,mean_agreement,tp,fp,tn,fn
isolated,10,40,0.75,0.05,0,0.875,0.925,0.125,0.525,0.285,0.7745000000000001,37,140,20,3
isolated,10,40,0.75,0.05,1,0.89375,0.875,0.10624999999999996,0.490625,0.26,0.738,35,143,17,5
isolated,10,40,0.75,0.05,2,0.89375,0.925,0.10624999999999996,0.515625,0.27,0.7525,37,143,17,3
isolated,10,40,0.75,0.05,3,0.90625,0.925,0.09375,0.509375,0.26,0.768,37,145,15,3
isolated,10,40,0.75,0.05,4,0.9,0.9,0.09999999999999998,0.5,0.26,0.7434999999999999,36,144,16,4
isolated,10,40,0.75,0.05,5,0.8571428571428571,0.8974358974358975,0.1428571428571429,0.5201465201465202,0.29,0.774,35,138,23,4
isolated,10,40,0.75,0.05,6,0.81875,0.9,0.18125000000000002,0.540625,0.325,0.759,36,131,29,4
isolated,10,40,0.75,0.05,7,0.80625,0.925,0.19374999999999998,0.559375,0.34,0.748,37,129,31,3
isolated,10,40,0.75,0.05,8,0.9375,0.925,0.0625,0.49375,0.235,0.779,37,150,10,3
isolated,10,40,0.75,0.05,9,0.9625,0.95,0.03749999999999998,0.49374999999999997,0.22,0.7625,38,154,6,2
lattice,10,40,0.75,0.05,0,0.3125,0.475,0.6875,0.58125,0.645,0.6884999999999999,19,50,110,21
lattice,10,40,0.75,0.05,1,0.25,0.375,0.75,0.5625,0.675,0.6925,15,40,120,25
lattice,10,40,0.75,0.05,2,0.28125,0.425,0.71875,0.571875,0.66,0.6829999999999999,17,45,115,23
lattice,10,40,0.75,0.05,3,0.26875,0.425,0.73125,0.578125,0.67,0.718,17,43,117,23
lattice,10,40,0.75,0.05,4,0.24375,0.4,0.75625,0.578125,0.685,0.7090000000000001,16,39,121,24
lattice,10,40,0.75,0.05,5,0.36024844720496896,0.41025641025641024,0.639751552795031,0.5250039815257206,0.595,0.7119999999999999,16,58,103,23
lattice,10,40,0.75,0.05,6,0.34375,0.4,0.65625,0.528125,0.605,0.716,16,55,105,24
lattice,10,40,0.75,0.05,7,0.2875,0.275,0.7125,0.49375,0.625,0.6925,11,46,114,29
lattice,10,40,0.75,0.05,8,0.30625,0.4,0.69375,0.546875,0.635,0.6789999999999999,16,49,111,24
lattice,10,40,0.75,0.05,9,0.25625,0.275,0.74375,0.509375,0.65,0.6659999999999999,11,41,119,29
small_world,10,40,0.75,0.05,0,0.1125,0.1,0.8875,0.49374999999999997,0.73,0.76,4,18,142,36
small_world,10,40,0.75,0.05,1,0.0375,0.05,0.9625,0.50625,0.78,0.7909999999999999,2,6,154,38
small_world,10,40,0.75,0.05,2,0.06875,0.175,0.93125,0.553125,0.78,0.7805000000000001,7,11,149,33
small_world,10,40,0.75,0.05,3,0.14375,0.175,0.85625,0.515625,0.72,0.8225000000000001,7,23,137,33
small_world,10,40,0.75,0.05,4,0.1,0.25,0.9,0.575,0.77,0.796,10,16,144,30
small_world,10,40,0.75,0.05,5,0.17391304347826086,0.20512820512820512,0.8260869565217391,0.5156075808249722,0.705,0.7755,8,28,133,31
small_world,10,40,0.75,0.05,6,0.14375,0.175,0.85625,0.515625,0.72,0.7825,7,23,137,33
small_world,10,40,0.75,0.05,7,0.1125,0.15,0.8875,0.5187499999999999,0.74,0.778,6,18,142,34
small_world,10,40,0.75,0.05,8,0.1,0.15,0.9,0.525,0.75,0.7985000000000001,6,16,144,34
small_world,10,40,0.75,0.05,9,0.01875,0.15,0.98125,0.5656249999999999,0.815,0.797,6,3,157,34
shared,10,40,0.75,0.05,0,0.025,0.025,0.975,0.5,0.785,0.9734999999999999,1,4,156,39
shared,10,40,0.75,0.05,1,0.0,0.0,1.0,0.5,0.8,1.0,0,0,160,40
shared,10,40,0.75,0.05,2,0.0375,0.125,0.9625,0.54375,0.795,0.9555000000000001,5,6,154,35
shared,10,40,0.75,0.05,3,0.13125,0.175,0.86875,0.521875,0.73,0.9415,7,21,139,33
shared,10,40,0.75,0.05,4,0.0625,0.125,0.9375,0.53125,0.775,0.9570000000000001,5,10,150,35
shared,10,40,0.75,0.05,5,0.09937888198757763,0.15384615384615385,0.9006211180124224,0.5272336359292882,0.755,0.93,6,16,145,33
shared,10,40,0.75,0.05,6,0.0875,0.125,0.9125,0.51875,0.755,0.9540000000000001,5,14,146,35
shared,10,40,0.75,0.05,7,0.04375,0.125,0.95625,0.540625,0.79,0.9585000000000001,5,7,153,35
shared,10,40,0.75,0.05,8,0.06875,0.125,0.93125,0.528125,0.77,0.9665,5,11,149,35
shared,10,40,0.75,0.05,9,0.0,0.075,1.0,0.5375,0.815,0.98,3,0,160,37
isolated,20,40,0.75,0.05,0,0.98125,0.975,0.018750000000000044,0.496875,0.21,0.7575,39,157,3,1
isolated,20,40,0.75,0.05,1,0.96875,1.0,0.03125,0.515625,0.225,0.73875,40,155,5,0
isolated,20,40,0.75,0.05,2,0.96875,0.95,0.03125,0.490625,0.215,0.7455000000000002,38,155,5,2
isolated,20,40,0.75,0.05,3,0.9625,0.95,0.03749999999999998,0.49374999999999997,0.22,0.759,38,154,6,2
isolated,20,40,0.75,0.05,4,0.9625,0.975,0.03749999999999998,0.50625,0.225,0.7555,39,154,6,1
isolated,20,40,0.75,0.05,5,0.9440993788819876,0.9487179487179487,0.05590062111801242,0.5023092849179805,0.23,0.74275,37,152,9,2
isolated,20,40,0.75,0.05,6,0.925,0.9,0.07499999999999996,0.4875,0.24,0.73925,36,148,12,4
isolated,20,40,0.75,0.05,7,0.93125,0.975,0.06874999999999998,0.521875,0.25,0.7497499999999999,39,149,11,1
isolated,20,40,0.75,0.05,8,0.96875,0.975,0.03125,0.503125,0.22,0.76575,39,155,5,1
isolated,20,40,0.75,0.05,9,1.0,0.975,0.0,0.4875,0.195,0.746,39,160,0,1
lattice,20,40,0.75,0.05,0,0.3375,0.425,0.6625,0.54375,0.615,0.6467499999999999,17,54,106,23
lattice,20,40,0.75,0.05,1,0.25625,0.425,0.74375,0.584375,0.68,0.6629999999999998,17,41,119,23
lattice,20,40,0.75,0.05,2,0.25625,0.425,0.74375,0.584375,0.68,0.65425,17,41,119,23
lattice,20,40,0.75,0.05,3,0.35,0.5,0.65,0.575,0.62,0.65675,20,56,104,20
lattice,20,40,0.75,0.05,4,0.3625,0.4,0.6375,0.51875,0.59,0.6582499999999999,16,58,102,24
lattice,20,40,0.75,0.05,5,0.2919254658385093,0.46153846153846156,0.7080745341614907,0.5848064978499761,0.66,0.6772499999999999,18,47,114,21
lattice,20,40,0.75,0.05,6,0.3,0.4,0.7,0.55,0.64,0.685,16,48,112,24
lattice,20,40,0.75,0.05,7,0.3,0.45,0.7,0.575,0.65,0.66475,18,48,112,22
lattice,20,40,0.75,0.05,8,0.31875,0.475,0.68125,0.578125,0.64,0.642,19,51,109,21
lattice,20,40,0.75,0.05,9,0.23125,0.3,0.76875,0.534375,0.675,0.618,12,37,123,28
small_world,20,40,0.75,0.05,0,0.04375,0.1,0.95625,0.5281250000000001,0.785,0.7415,4,7,153,36
small_world,20,40,0.75,0.05,1,0.0125,0.1,0.9875,0.5437500000000001,0.81,0.7765000000000001,4,2,158,36
small_world,20,40,0.75,0.05,2,0.0625,0.2,0.9375,0.56875,0.79,0.7677499999999999,8,10,150,32
small_world,20,40,0.75,0.05,3,0.075,0.125,0.925,0.525,0.765,0.7445,5,12,148,35
small_world,20,40,0.75,0.05,4,0.0375,0.05,0.9625,0.50625,0.78,0.74075,2,6,154,38
small_world,20,40,0.75,0.05,5,0.11801242236024845,0.20512820512820512,0.8819875776397516,0.5435578913839784,0.75,0.755,8,19,142,31
small_world,20,40,0.75,0.05,6,0.1,0.2,0.9,0.55,0.76,0.752,8,16,144,32
small_world,20,40,0.75,0.05,7,0.0875,0.175,0.9125,0.54375,0.765,0.7557500000000001,7,14,146,33
small_world,20,40,0.75,0.05,8,0.09375,0.2,0.90625,0.553125,0.765,0.7297499999999999,8,15,145,32
small_world,20,40,0.75,0.05,9,0.0125,0.075,0.9875,0.53125,0.805,0.7647499999999999,3,2,158,37
