topology,n_reviewers,n_latent_classes,classifier_accuracy,seeding_rate,seed,false_novelty_rate,true_novelty_recall,specificity,balanced_accuracy,consensus_accuracy,mean_agreement,tp,fp,tn,fn
isolated,20,20,0.75,0.05,0,0.6666666666666666,0.6,0.3333333333333333,0.4666666666666667,0.36,0.6232500000000001,12,120,60,8
isolated,20,20,0.75,0.05,1,0.5611111111111111,0.55,0.4388888888888889,0.49444444444444446,0.45,0.6034999999999999,11,101,79,9
isolated,20,20,0.75,0.05,2,0.6611111111111111,0.7,0.3388888888888889,0.5194444444444444,0.375,0.6325,14,119,61,6
isolated,20,20,0.75,0.05,3,0.7111111111111111,0.75,0.28888888888888886,0.5194444444444444,0.335,0.6409999999999999,15,128,52,5
isolated,20,20,0.75,0.05,4,0.6111111111111112,0.75,0.3888888888888889,0.5694444444444444,0.425,0.6147499999999999,15,110,70,5
isolated,20,20,0.75,0.05,5,0.6611111111111111,0.6,0.3388888888888889,0.46944444444444444,0.365,0.6325,12,119,61,8
isolated,20,20,0.75,0.05,6,0.5888888888888889,0.6,0.4111111111111111,0.5055555555555555,0.43,0.6297499999999999,12,106,74,8
isolated,20,20,0.75,0.05,7,0.5944444444444444,0.65,0.40555555555555556,0.5277777777777778,0.43,0.632,13,107,73,7
isolated,20,20,0.75,0.05,8,0.75,0.8,0.25,0.525,0.305,0.6317499999999999,16,135,45,4
isolated,20,20,0.75,0.05,9,0.6222222222222222,0.5,0.37777777777777777,0.4388888888888889,0.39,0.592,10,112,68,10
small_world,20,20,0.75,0.05,0,0.011111111111111112,0.0,0.9888888888888889,0.49444444444444446,0.89,0.91025,0,2,178,20
small_world,20,20,0.75,0.05,1,0.0,0.0,1.0,0.5,0.9,0.94475,0,0,180,20
small_world,20,20,0.75,0.05,2,0.0,0.0,1.0,0.5,0.9,0.9002499999999999,0,0,180,20
small_world,20,20,0.75,0.05,3,0.0,0.0,1.0,0.5,0.9,0.88725,0,0,180,20
small_world,20,20,0.75,0.05,4,0.0,0.0,1.0,0.5,0.9,0.9095,0,0,180,20
small_world,20,20,0.75,0.05,5,0.011111111111111112,0.05,0.9888888888888889,0.5194444444444445,0.895,0.898,1,2,178,19
small_world,20,20,0.75,0.05,6,0.0,0.0,1.0,0.5,0.9,0.89375,0,0,180,20
small_world,20,20,0.75,0.05,7,0.0,0.05,1.0,0.525,0.905,0.91275,1,0,180,19
small_world,20,20,0.75,0.05,8,0.0,0.0,1.0,0.5,0.9,0.90875,0,0,180,20
small_world,20,20,0.75,0.05,9,0.0,0.0,1.0,0.5,0.9,0.9172499999999999,0,0,180,20
shared,20,20,0.75,0.05,0,0.0,0.0,1.0,0.5,0.9,1.0,0,0,180,20
shared,20,20,0.75,0.05,1,0.0,0.0,1.0,0.5,0.9,1.0,0,0,180,20
shared,20,20,0.75,0.05,2,0.0,0.0,1.0,0.5,0.9,1.0,0,0,180,20
shared,20,20,0.75,0.05,3,0.0,0.0,1.0,0.5,0.9,1.0,0,0,180,20
shared,20,20,0.75,0.05,4,0.0,0.0,1.0,0.5,0.9,1.0,0,0,180,20
shared,20,20,0.75,0.05,5,0.0,0.0,1.0,0.5,0.9,1.0,0,0,180,20
shared,20,20,0.75,0.05,6,0.0,0.0,1.0,0.5,0.9,1.0,0,0,180,20
shared,20,20,0.75,0.05,7,0.0,0.0,1.0,0.5,0.9,1.0,0,0,180,20
shared,20,20,0.75,0.05,8,0.0,0.0,1.0,0.5,0.9,1.0,0,0,180,20
shared,20,20,0.75,0.05,9,0.0,0.0,1.0,0.5,0.9,1.0,0,0,180,20
isolated,20,40,0.75,0.05,0,0.98125,0.975,0.01875,0.496875,0.21,0.7575,39,157,3,1
isolated,20,40,0.75,0.05,1,0.96875,1.0,0.03125,0.515625,0.225,0.73875,40,155,5,0
isolated,20,40,0.75,0.05,2,0.96875,0.95,0.03125,0.490625,0.215,0.7455000000000002,38,155,5,2
isolated,20,40,0.75,0.05,3,0.9625,0.95,0.0375,0.49374999999999997,0.22,0.759,38,154,6,2
isolated,20,40,0.75,0.05,4,0.9625,0.975,0.0375,0.50625,0.225,0.7555,39,154,6,1
isolated,20,40,0.75,0.05,5,0.9440993788819876,0.9487179487179487,0.055900621118012424,0.5023092849179805,0.23,0.74275,37,152,9,2
isolated,20,40,0.75,0.05,6,0.925,0.9,0.075,0.4875,0.24,0.73925,36,148,12,4
isolated,20,40,0.75,0.05,7,0.93125,0.975,0.06875,0.521875,0.25,0.7497499999999999,39,149,11,1
