topology,n_reviewers,n_latent_classes,classifier_accuracy,seeding_rate,seed,false_novelty_rate,true_novelty_recall,specificity,balanced_accuracy,consensus_accuracy,mean_agreement,tp,fp,tn,fn
isolated,20,40,0.75,0.02,0,1.0,1.0,0.0,0.5,0.2,0.897,40,160,0,0
isolated,20,40,0.75,0.02,1,1.0,1.0,0.0,0.5,0.2,0.8815000000000001,40,160,0,0
isolated,20,40,0.75,0.02,2,1.0,1.0,0.0,0.5,0.2,0.8839999999999999,40,160,0,0
isolated,20,40,0.75,0.02,3,1.0,1.0,0.0,0.5,0.2,0.8825,40,160,0,0
isolated,20,40,0.75,0.02,4,1.0,1.0,0.0,0.5,0.2,0.88925,40,160,0,0
isolated,20,40,0.75,0.02,5,1.0,1.0,0.0,0.5,0.195,0.8897499999999999,39,161,0,0
isolated,20,40,0.75,0.02,6,1.0,1.0,0.0,0.5,0.2,0.88825,40,160,0,0
isolated,20,40,0.75,0.02,7,1.0,1.0,0.0,0.5,0.2,0.8915,40,160,0,0
isolated,20,40,0.75,0.02,8,1.0,1.0,0.0,0.5,0.2,0.9,40,160,0,0
isolated,20,40,0.75,0.02,9,1.0,1.0,0.0,0.5,0.2,0.8977499999999999,40,160,0,0
lattice,20,40,0.75,0.02,0,0.9,0.9,0.09999999999999998,0.5,0.26,0.7380000000000001,36,144,16,4
lattice,20,40,0.75,0.02,1,0.8,0.85,0.19999999999999996,0.5249999999999999,0.33,0.69125,34,128,32,6
lattice,20,40,0.75,0.02,2,0.9,0.925,0.09999999999999998,0.5125,0.265,0.7297500000000001,37,144,16,3
lattice,20,40,0.75,0.02,3,0.84375,0.9,0.15625,0.528125,0.305,0.7275,36,135,25,4
lattice,20,40,0.75,0.02,4,0.81875,0.925,0.18125000000000002,0.5531250000000001,0.33,0.7072499999999999,37,131,29,3
lattice,20,40,0.75,0.02,5,0.8198757763975155,0.9743589743589743,0.18012422360248448,0.5772415989807294,0.335,0.72675,38,132,29,1
lattice,20,40,0.75,0.02,6,0.75625,0.85,0.24375000000000002,0.546875,0.365,0.73675,34,121,39,6
lattice,20,40,0.75,0.02,7,0.8,0.9,0.19999999999999996,0.55,0.34,0.7264999999999999,36,128,32,4
lattice,20,40,0.75,0.02,8,0.9125,0.95,0.08750000000000002,0.51875,0.26,0.74725,38,146,14,2
lattice,20,40,0.75,0.02,9,0.8875,0.95,0.11250000000000004,0.53125,0.28,0.728,38,142,18,2
small_world,20,40,0.75,0.02,0,0.6,0.65,0.4,0.525,0.45,0.6845,26,96,64,14
small_world,20,40,0.75,0.02,1,0.4875,0.6,0.5125,0.5562499999999999,0.53,0.6389999999999999,24,78,82,16
small_world,20,40,0.75,0.02,2,0.65,0.675,0.35,0.5125,0.415,0.67375,27,104,56,13
small_world,20,40,0.75,0.02,3,0.5625,0.7,0.4375,0.56875,0.49,0.66875,28,90,70,12
small_world,20,40,0.75,0.02,4,0.51875,0.65,0.48124999999999996,0.565625,0.515,0.6719999999999999,26,83,77,14
small_world,20,40,0.75,0.02,5,0.5652173913043478,0.5897435897435898,0.4347826086956522,0.512263099219621,0.465,0.6805,23,91,70,16
small_world,20,40,0.75,0.02,6,0.56875,0.625,0.43125,0.528125,0.47,0.7092499999999999,25,91,69,15
small_world,20,40,0.75,0.02,7,0.55625,0.675,0.44375,0.559375,0.49,0.6785,27,89,71,13
small_world,20,40,0.75,0.02,8,0.64375,0.65,0.35624999999999996,0.503125,0.415,0.6940000000000001,26,103,57,14
small_world,20,40,0.75,0.02,9,0.60625,0.6,0.39375000000000004,0.496875,0.435,0.6542500000000001,24,97,63,16
shared,20,40,0.75,0.02,0,0.175,0.2,0.825,0.5125,0.7,0.9209999999999999,8,28,132,32
shared,20,40,0.75,0.02,1,0.00625,0.05,0.99375,0.521875,0.805,0.9840000000000001,2,1,159,38
shared,20,40,0.75,0.02,2,0.05625,0.175,0.94375,0.559375,0.79,0.938,7,9,151,33
shared,20,40,0.75,0.02,3,0.15625,0.2,0.84375,0.521875,0.715,0.9275,8,25,135,32
shared,20,40,0.75,0.02,4,0.0875,0.15,0.9125,0.53125,0.76,0.9457499999999999,6,14,146,34
shared,20,40,0.75,0.02,5,0.18012422360248448,0.2564102564102564,0.8198757763975155,0.538143016403886,0.71,0.9069999999999999,10,29,132,29
shared,20,40,0.75,0.02,6,0.125,0.2,0.875,0.5375,0.74,0.92825,8,20,140,32
shared,20,40,0.75,0.02,7,0.06875,0.15,0.93125,0.540625,0.775,0.9475,6,11,149,34
shared,20,40,0.75,0.02,8,0.11875,0.2,0.88125,0.540625,0.745,0.9354999999999998,8,19,141,32
shared,20,40,0.75,0.02,9,0.05625,0.15,0.94375,0.546875,0.785,0.9472499999999999,6,9,151,34
isolated,20,40,0.75,0.05,0,0.98125,0.975,0.018750000000000044,0.496875,0.21,0.7575,39,157,3,1
isolated,20,40,0.75,0.05,1,0.96875,1.0,0.03125,0.515625,0.225,0.73875,40,155,5,0
isolated,20,40,0.75,0.05,2,0.96875,0.95,0.03125,0.490625,0.215,0.7455000000000002,38,155,5,2
isolated,20,40,0.75,0.05,3,0.9625,0.95,0.03749999999999998,0.49374999999999997,0.22,0.759,38,154,6,2
isolated,20,40,0.75,0.05,4,0.9625,0.975,0.03749999999999998,0.50625,0.225,0.7555,39,154,6,1
isolated,20,40,0.75,0.05,5,0.9440993788819876,0.9487179487179487,0.05590062111801242,0.5023092849179805,0.23,0.74275,37,152,9,2
isolated,20,40,0.75,0.05,6,0.925,0.9,0.07499999999999996,0.4875,0.24,0.73925,36,148,12,4
isolated,20,40,0.75,0.05,7,0.93125,0.975,0.06874999999999998,0.521875,0.25,0.7497499999999999,39,149,11,1
isolated,20,40,0.75,0.05,8,0.96875,0.975,0.03125,0.503125,0.22,0.76575,39,155,5,1
isolated,20,40,0.75,0.05,9,1.0,0.975,0.0,0.4875,0.195,0.746,39,160,0,1
lattice,20,40,0.75,0.05,0,0.3375,0.425,0.6625,0.54375,0.615,0.6467499999999999,17,54,106,23
lattice,20,40,0.75,0.05,1,0.25625,0.425,0.74375,0.584375,0.68,0.6629999999999998,17,41,119,23
lattice,20,40,0.75,0.05,2,0.25625,0.425,0.74375,0.584375,0.68,0.65425,17,41,119,23
lattice,20,40,0.75,0.05,3,0.35,0.5,0.65,0.575,0.62,0.65675,20,56,104,20
lattice,20,40,0.75,0.05,4,0.3625,0.4,0.6375,0.51875,0.59,0.6582499999999999,16,58,102,24
lattice,20,40,0.75,0.05,5,0.2919254658385093,0.46153846153846156,0.7080745341614907,0.5848064978499761,0.66,0.6772499999999999,18,47,114,21
lattice,20,40,0.75,0.05,6,0.3,0.4,0.7,0.55,0.64,0.685,16,48,112,24
lattice,20,40,0.75,0.05,7,0.3,0.45,0.7,0.575,0.65,0.66475,18,48,112,22
lattice,20,40,0.75,0.05,8,0.31875,0.475,0.68125,0.578125,0.64,0.642,19,51,109,21
lattice,20,40,0.75,0.05,9,0.23125,0.3,0.76875,0.534375,0.675,0.618,12,37,123,28
small_world,20,40,0.75,0.05,0,0.04375,0.1,0.95625,0.5281250000000001,0.785,0.7415,4,7,153,36
small_world,20,40,0.75,0.05,1,0.0125,0.1,0.9875,0.5437500000000001,0.81,0.7765000000000001,4,2,158,36
small_world,20,40,0.75,0.05,2,0.0625,0.2,0.9375,0.56875,0.79,0.7677499999999999,8,10,150,32
small_world,20,40,0.75,0.05,3,0.075,0.125,0.925,0.525,0.765,0.7445,5,12,148,35
